ref des,side,x,y,rotation
C504,front,25,-112,0
C201,front,46,-33,0
C505,back,69,-77,0
N34,front,67,-62,0
C202,front,55,-33,0
C506,back,56,-90,0
N35,front,56,-62,0
C203,front,46,-43,0
C507,back,70,-87,0
N40,front,130,-41,0
C204,front,55,-43,0
C508,front,44,-86,0
N41,back,143,-36,0
C205,front,65,-43,0
C509,back,41,-88,0
C206,back,58,-40,0
C510,back,38,-91,0
C207,back,66,-46,0
C511,front,21,-109,0
C512,front,18,-97,0
C515,back,24,-74,0
N42,front,123,-77,0
C516,back,28,-77,0
N50,back,72,-34,0
C211,back,20,-41,0
C517,back,22,-89,0
C212,back,11,-44,0
CS518,back,59,-120,0
C215,back,28,-48,0
C519,front,60,-117,0
N51,back,56,-119,0
C216,back,28,-41,0
C520,back,50,-110,0
N52,back,67,-91,0
C300,back,86,-48,0
C521,back,36,-105,0
N53,back,11,-116,0
C301,back,79,-51,0
C522,back,60,-100,0
C302,front,103,-117,0
D20,back,72,-10,0
C303,front,84,-103,0
N54,back,8,-92,0
C304,front,90,-95,0
C305,back,88,-91,0
C306,back,80,-84,0
NS55,back,11,-105,0
C307,back,86,-87,0
D21,back,89,-10,0
C309,back,63,-68,0
D22,back,14,-48,0
N56,back,15,-69,0
C310,back,71,-56,0
D23,back,116,-10,0
C311,back,54,-65,0
C312,back,60,-56,0
D30,back,96,-39,0
HVC,front,69,-102,0
C313,back,73,-65,0
D31,back,100,-10,0
P20,front,73,-42,0
C314,back,67,-51,0
P21,front,8,-30,0
C315,front,99,-53,0
D32,back,52,-62,0
P30,front,81,-93,0
C316,back,79,-45,0
D40,back,130,-37,0
P31,front,81,-109,0
C317,back,93,-51,0
D41,back,135,-10,0
P32,front,49,-65,0
C319,back,60,-65,0
P33,front,95,-41,0
C320,back,81,-102,0
D50,back,53,-87,0
P34,front,116,-55,0
C321,back,69,-45,0
P40,front,138,-46,0
C322,front,104,-41,0
P53,front,28,-85,0
C325,front,96,-84,0
P54,front,48,-91,0
C400,back,126,-47,0
P55,front,70,-117,0
C401,back,119,-50,0
D51,front,19,-73,0
P56,front,20,-113,0
C402,front,131,-102,0
K2,front,23,-33,0
PS7,front,61,-97,0
C403,front,112,-97,0
P58,front,12,-100,0
C404,front,124,-93,0
R200,back,65,-36,0
C405,back,121,-88,0
N20,front,22,-44,0
R201,back,62,-40,0
N30,front,90,-43,0
R202,back,67,-29,0
C407,back,119,-85,0
N31,back,110,-37,0
R203,back,47,-36,0
R204,back,53,-36,0
C409,back,119,-40,0
R205,back,68,-36,0
C410,back,133,-49,0
C4I4,front,133,-83,0
R207,back,82,-15,0
C415,back,109,-93,0
N32,front,90,-79,0
R208,back,29,-52,0
C500,front,39,-110,0
N33,back,115,-48,0
R209,back,11,-48,0
C501,back,39,-116,0
R210,back,127,-8,0
C502,back,54,-112,0
R211,back,130,-11,0
C503,back,47,-118,0
R212,back,126,-16,0
R215,back,22,-27,0
R405,back,113,-63,0
R529,back,8,-75,0
R300,front,79,-75,0
R406,front,121,-53,0
R530,back,28,-70,0
R301,back,80,-81,0
R407,back,124,-53,0
R531,back,15,-82,0
R302,front,79,-70,0
R408,front,135,-53,0
R532,back,22,-68,0
R303,front,79,-65,0
R409,back,135,-49,0
R533,back,15,-75,0
R304,front,79,-60,0
R410,back,115,-33,0
R534,back,26,-65,0
R305,back,78,-57,0
R411,back,133,-32,0
R306,front,79,-54,0
R412,back,125,-71,0
R536,back,43,-65,0
R307,back,83,-53,0
R413,back,125,-66,0
R537,back,44,-79,0
R308,front,95,-54,0
R414,back,125,-61,0
R309,back,95,-51,0
R415,back,125,-56,0
R539,back,9,-89,0
R310,back,82,-35,0
R416,back,140,-74,0
R540,back,30,-85,0
R311,back,100,-32,0
R417,back,136,-66,0
R312,back,89,-72,0
R418,back,136,-61,0
R542,back,8,-79,0
R313,back,89,-67,0
R419,back,136,-56,0
V20,back,28,-34,0
R314,back,89,-62,0
R420,back,144,-7,0
V21,back,58,-28,0
R315,back,89,-57,0
R421,back,143,-98,0
V300,back,84,-72,0
R316,back,104,-75,0
R422,back,139,-105,0
V301,back,84,-67,0
R317,back,100,-67,0
R423,back,138,-89,0
V302,back,84,-62,0
R318,back,100,-62,0
R424,back,134,-97,0
V303,back,84,-57,0
R319,back,100,-57,0
R425,back,142,-74,0
VV304,front,95,-75,0
R320,back,111,-14,0
R426,back,141,-85,0
V305,back,97,-70,0
R321,back,105,-93,0
R427,back,125,-102,0
V306,back,97,-65,0
R322,back,105,-105,0
R428,back,125,-97,0
V307,back,97,-60,0
R323,back,101,-91,0
R429,back,129,-88,0
V308,front,100,-102,0
R324,back,97,-98,0
R430,back,116,-92,0
V309,front,93,-94,0
R325,back,111,-81,0
R500,back,67,-114,0
V310,front,102,-84,0
R501,back,59,-134,0
V311,back,108,-78,0
R327,back,96,-102,0
R502,front,64,-123,0
V312,back,113,-90,0
R328,back,89,-99,0
R503,back,33,-110,0
V313,back,114,-103,0
R329,back,93,-88,0
R504,back,42,-115,0
V314,back,96,-109,0
R330,back,100,-46,0
R505,front,58,-112,0
V3I5,back,87,-109,0
R331,back,100,-49,0
R506,back,52,-107,0
V316,back,91,-109,0
R332,back,116,-51,0
R507,back,56,-107,0
V400,back,120,-71,0
R333,back,88,-114,0
R508,back,39,-103,0
R334,back,96,-114,0
R509,back,45,-103,0
V402,back,120,-61,0
R510,back,61,-78,0
R336,back,92,-111,0
R511,back,64,-84,0
V404,front,130,-74,0
R337,back,85,-116,0
R512,back,57,-87,0
V405,back,133,-69,0
R338,back,92,-116,0
R513,back,66,-77,0
V406,back,133,-63,0
R339,front,60,-68,0
R514,back,67,-84,0
V407,back,133,-58,0
R340,front,44,-68,0
R515,back,33,-116,0
V408,front,135,-102,0
R341,back,43,-46,0
R516,back,25,-109,0
V409,front,130,-93,0
R342,back,38,-55,0
R517,back,30,-88,0
V410,front,137,-82,0
R343,back,51,-68,0
R518,back,52,-93,0
V500,front,67,-110,0
RS19,back,41,-93,0
V501,back,36,-114,0
R345,back,67,-65,0
R520,back,55,-97,0
V502,back,40,-107,0
R346,back,81,-97,0
R521,back,44,-93,0
V503,back,45,-107,0
R347,back,73,-51,0
R522,back,57,-81,0
V504,front,25,-119,0
R523,back,41,-83,0
V505,back,46,-96,0
R524,back,22,-93,0
V506,back,37,-96,0
R525,back,15,-88,0
R526,back,25,-83,0
V508,back,43,-98,0
R527,back,25,-77,0
V509,back,41,-85,0
R528,back,22,-79,0
V510,front,25,-105,0
V511,back,29,-100,0
X1C,front,52,-11,0
X4,front,55,-50,0
V512,front,25,-95,0
X1D,front,52,-11,0
V513,back,8,-99,0
V514,back,19,-101,0
X1IC,front,52,-11,0
X50,front,69,-107,0
V516,front,22,-73,0
X2,front,11,-57,0
X52,front,25,-68,0
V537,back,38,-79,0
X3,front,85,-7,0
X1A,front,52,-11,0
